#
# Table of Datum aliases. Datum may be geodetic, vertical, temporal, etc.
# Ellipsoid and prime meridian names may appear in this table as well.
# The first line shall contains the authority names. All other lines are
# datum names.
#
# (C) 2005-2008, Open Source Geospatial Foundation (OSGeo)
#

# The authorities for each column
EPSG;OGR;ESRI;Oracle;OGC

# The values for each column.
Provisional South American Datum 1956;Provisional_South_American_Datum_1956;D_Provisional_S_American_1956;Provisional South American
Puerto Rico;Puerto_Rico;D_Puerto_Rico;Puerto Rico
Pulkovo 1942;Pulkovo_1942;D_Pulkovo_1942;Pulkovo 1942
Pulkovo 1942/58;Pulkovo_1942/58;D_Pulkovo_1942_Adj_1958;
Pulkovo 1942/83;Pulkovo_1942/83;D_Pulkovo_1942_Adj_1983;
Pulkovo 1995;Pulkovo_1995;D_Pulkovo_1995;
Qatar 1948;Qatar_1948;;
Qatar 1974;Qatar_1974;;
Qatar National Datum 1995;Qatar_National_Datum_1995;D_Qatar;Qatar National
Qornoq;Qornoq;D_Qornoq;Qornoq
Qornoq 1927;Qornoq_1927;D_Qornoq_1927;
#
# NOTE: The two previous lines were:
#       Qornoq;Qornoq;D_Qornoq;
#       Qornoq 1927;Qornoq_1927;D_Qornoq_1927;Qornoq
#       But it introduces a name clash on "Qornoq".
#
Rassadiran;Rassadiran;D_Rassadiran;
Red Geodesica Venezolana;Red_Geodesica_Venezolana;D_REGVEN;
Reseau de Reference des Antilles Francaises 1991;Reseau_de_Reference_des_Antilles_Francaises_1991;;
Reseau Geodesique de la Reunion 1992;Reseau_Geodesique_de_la_Reunion_1992;D_RGR_1992;
Reseau Geodesique Francais 1993;Reseau_Geodesique_Francais_1993;D_RGF_1993;
Reseau Geodesique Francais Guyane 1995;Reseau_Geodesique_Francais_Guyane_1995;D_RGFG_1995;
Reseau Geodesique Nouvelle Caledonie 1991;Reseau_Geodesique_Nouvelle_Caledonie_1991;D_RGNC_1991;
Reseau National Belge 1950;Reseau_National_Belge_1950;D_Belge_1950;
Reseau National Belge 1950 (Brussels);Reseau_National_Belge_1950_Brussels;;
Reseau National Belge 1972;Reseau_National_Belge_1972;;
Reunion 1947;Reunion_1947;;Reunion
Reykjavik 1900;Reykjavik_1900;;
Rikets koordinatsystem 1990;Rikets_koordinatsystem_1990;D_RT_1990;RT 90 (Sweden)
Saint Pierre et Miquelon 1950;Saint_Pierre_et_Miquelon_1950;D_Saint_Pierre_et_Miquelon_1950;
Samboja;Samboja;D_Samboja;
Sapper Hill 1943;Sapper_Hill_1943;D_Sapper_Hill_1943;Sapper Hill 1943
Schwarzeck;Schwarzeck;D_Schwarzeck;Schwarzeck
Scoresbysund 1952;Scoresbysund_1952;;
Segora;Segora;D_Segora;
Selvagem Grande;Selvagem_Grande;;
Serindung;Serindung;D_Serindung;
Sierra Leone 1968;Sierra_Leone_1968;D_Sierra_Leone_1968;
Sierra Leone Colony 1924;Sierra_Leone_Colony_1924;D_Sierra_Leone_1924;
Sistema de Referencia Geocentrico para America del Sur 1995;Sistema_de_Referencia_Geocentrico_para_America_del_Sur_1995;;
Sistema de Referencia Geocentrico para America del Sur 2000;Sistema_de_Referencia_Geocentrico_para_America_del_Sur_2000;;
S-JTSK (Ferro);S-JTSK_Ferro;D_S_JTSK;
South American Datum 1969;South_American_Datum_1969;D_South_American_1969;South American 1969
South American Datum 1969;South_American_Datum_1969;D_South_American_1969;South American 1969
South Yemen;South_Yemen;D_South_Yemen;
St. George Island;St_George_Island;;
St. Kitts 1955;St_Kitts_1955;D_St_Kitts_1955;
St. Lawrence Island;St_Lawrence_Island;D_St_Lawrence_Island;
St. Lucia 1955;St_Lucia_1955;D_St_Lucia_1955;
St. Paul Island;St_Paul_Island;D_St_Paul_Island;
St. Vincent 1945;St_Vincent_1945;D_St_Vincent_1945;
ST71 Belep;ST71_Belep;D_ST71_Belep;
ST84 Ile des Pins;ST84_Ile_des_Pins;D_ST84_Ile_des_Pins;
ST87 Ouvea;ST87_Ouvea;D_ST87_Ouvea;
Stockholm 1938;Stockholm_1938;D_Stockholm_1938;
Stockholm 1938 (Stockholm);Stockholm_1938_Stockholm;;
Sudan;Sudan;D_Sudan;
SWEREF99;SWEREF99;D_SWEREF99;
Swiss Terrestrial Reference Frame 1995;Swiss_Terrestrial_Reference_Frame_1995;D_Swiss_TRF_1995;
Tahaa;Tahaa;D_Tahaa;
Tahiti;Tahiti;D_Tahiti;
Tananarive 1925;Tananarive_1925;D_Tananarive_1925;
Tananarive 1925 (Paris);Tananarive_1925_Paris;;
Tete;Tete;D_Tete;
Timbalai 1948;Timbalai_1948;D_Timbalai_1948;Timbalai 1948
TM65;TM65;D_TM65;
Tokyo;Tokyo;D_Tokyo;Tokyo
Trinidad 1903;Trinidad_1903;D_Trinidad_1903;
Trucial Coast 1948;Trucial_Coast_1948;D_Trucial_Coast_1948;
Vientiane 1982;Vientiane_1982;;
Voirol 1875;Voirol_1875;D_Voirol_1875;
Voirol 1875 (Paris);Voirol_1875_Paris;;
Voirol 1879;Voirol_1879;;
Voirol 1879 (Paris);Voirol_1879_Paris;;
WGS 72 Transit Broadcast Ephemeris;WGS_72_Transit_Broadcast_Ephemeris;D_WGS_1972_BE;
World Geodetic System 1972;World_Geodetic_System_1972;D_WGS_1972;WGS 72
World Geodetic System 1984;World_Geodetic_System_1984;D_WGS_1984;WGS 84;WGS84;WGS_84;WGS 1984;WGS_1984
Xian 1980;Xian_1980;D_Xian_1980;
Yacare;Yacare;D_Yacare;Yacare
Yemen National Geodetic Network 1996;Yemen_National_Geodetic_Network_1996;D_Yemen_NGN_1996;
Yoff;Yoff;D_Yoff;
Zanderij;Zanderij;D_Zanderij;Zanderij
;;D_Airy_1830;
;;D_Alaskan_Islands;
;;D_Anna_1_1965;Anna 1 Astro 1965
;;D_Ascension_Island_1958;Ascension Island 1958
;;D_Bab_South;
;;D_Barbados;
;;D_Beacon_E_1945;
;;D_Bellevue_IGN;Bellevue (IGN)
;;D_Bermuda_2000;
;;D_Bern_1898;
;;D_Canton_1966;Canton Astro 1966
;;D_Dabola;
;;D_Datum_Lisboa_Bessel;
;;D_Datum_Lisboa_Hayford;
;;D_DOS_1968;DOS 1968
;;D_ETRF_1989;
;;D_ETRS_1989;
;;D_Everest_1830;
;;D_Everest_Bangladesh;
;;D_Everest_Def_1967;
;;D_Everest_Def_1975;
;;D_Everest_Modified;
;;D_Fort_Desaix;
;;D_Fort_Thomas_1955;
;;D_GRS_1967;
;;D_Helmert_1906;
;;D_Hong_Kong_1963;Hong Kong 1963
;;D_Hough_1960;
;;D_ISTS_061_1968;
;;D_Johnston_Island_1961;Johnston Island 1961
;;D_Jordan;
;;D_Krasovsky_1940;
;;D_Kusaie_1951;
;;D_LC5_1961;
;;D_Nereid_2000;
;;D_NWL_9D;
;;D_Observ_Meteorologico_1939;
;;D_Observatorio_Meteorologico_1965;
;;D_Oman;
;;D_Pico_de_Las_Nieves;Pico de las Nieves
;;D_Piton_des_Neiges;
;;D_Pohnpei;
;;D_POSGAR;
;;D_Roma_1940;Rome 1940
;;D_RRAF_1991;
;;D_S42_Hungary;
;;D_Sainte_Anne;
;;D_Santo_DOS_1965;Santo (DOS)
;;D_Sierra_Leone_1960;
;;D_SIRGAS;
;;D_South_Asia_Singapore;South Asia
;;D_Sphere;
;;D_Sphere_ARC_INFO;
;;D_Sphere_EMEP;
;;D_Struve_1860;
;;D_Tern_Island_1961;
;;D_TM75;
;;D_Tristan_1968;
;;D_Viti_Levu_1916;Viti Levu 1916
;;D_Voirol_Unifie_1960;
